pdb,subcat,detail
3ukb,free,
3ukc,free,
3uke,free,
3uln,free,
3um4,free,
3uyb,ligand,ba
3uyh,ligand,k
3v06,metal,sr
3v07,free,
3v9d,metal,mn
3wbo,free,
400d,free,
401d,free,
403d,ligand,mg
407d,ligand,
408d,ligand,
410d,ligand,
411d,free,
412d,metal,mg
414d,free,
417d,free,
423d,metal,mg
424d,free,
425d,free,
426d,metal,ca
427d,ligand,
428d,ligand,mg
431d,metal,mg
432d,ligand,
436d,metal,mg
440d,free,
441d,free,
442d,ligand,mg
443d,ligand,mg
444d,ligand,
445d,ligand,
446d,metal,ni
447d,ligand,
448d,ligand,
449d,ligand,
452d,ligand,
453d,ligand,
454d,ligand,
455d,ligand,mg
456d,metal,mg
457d,metal,mg
458d,ligand,
459d,ligand,
460d,metal,rb mg
461d,metal,rb mg
463d,metal,ca
465d,ligand,
467d,free,
473d,ligand,ni
474d,ligand,
476d,metal,ca
477d,metal,ca
478d,metal,ca
481d,anology,hna
482d,ligand,
4agz,ligand,mg
4ah0,ligand,mg
4ah1,ligand,mg
4bna,free,
4c5x,metal,mg
4c63,metal,mg
4c64,metal,mg
4d9x,ligand,ca
4d9y,ligand,ca
4da3,ligand,k
4daq,ligand,k
4dkz,free,
4dnb,free,
4dwy,metal,mn
4dx4,ligand,ba
4dy8,metal,mn
4e1u,ligand,ba
4e2r,metal,ba
4e4o,metal,ba
4e60,metal,ba
4e7y,ligand,ba
4e8s,ligand,ba
4e8x,ligand,ba
4e95,ligand,ba
4ez2,metal,na
4f2x,metal,co
4f2y,metal,mg
4f3u,metal,mg
4f4n,free,
4f8g,metal,co
4f8i,metal,co
4fp6,free,
4fs5,metal,mg
4fs6,metal,ca
4fxm,ligand,k
4g0f,ligand,k
4gju,metal,mg
4glc,free,
4glg,free,
4glh,metal,k
4gqd,metal,na
4gqj,ligand,
4gre,free,
4gs2,free,
4gsg,free,
4gsi,free,
4h29,metal,k
4h5a,metal,pt
4hif,ligand,zn
4hig,ligand,mn
4hli,metal,k mg
4hqh,free,
4hqi,ligand,sr
4i1g,metal,pt
4i9v,ligand,mg
4iii,ligand,ba
4ij0,ligand,sr
4itd,ligand,mg
4izq,free,
4izr,ligand,ba
4j2i,free,
4jd8,ligand,k
4kw0,metal,mg
4kwx,metal,mg
4l24,metal,hg
4l25,free,
4l26,free,
4l5k,ligand,
4ltf,ligand,ba
4ltg,ligand,ba
4lth,ligand,ba
4lti,ligand,ba
4ltj,ligand,ba
4ltk,ligand,ba
4ltl,ligand,ba
4ly2,ligand,ba
4m3i,ligand,ba
4m3v,ligand,ba
4mgw,metal,mg
4mj9,ligand,ba
4mkw,metal,mg
4mnb,ligand,co na
4ms5,ligand,ba
4o5w,ligand,sr mg
4o5x,ligand,mg
4o5y,metal,ba k
4o5z,metal,ba na
4ocb,free,
4ocd,ligand,
4okl,free,
4p1d,ligand,k
4pwm,free,
4pzq,metal,co
4qc7,free,
4qio,ligand,ba
4qkk,free,
4qno,metal,co
4r15,metal,cr
4r44,metal,k na
4r45,metal,k
4r47,metal,k mg
4r48,metal,ca na
4r49,metal,ca na
4r4a,ligand,co
4r4d,metal,mg na
4r6m,metal,hg
4r8j,ligand,ba
4re7,ligand,ba
4rhd,metal,mg
4rim,free,
4rip,free,
4rnk,metal,mg
4ro4,metal,mg
4ro7,metal,mg
4ro8,metal,mg
4rog,metal,mg
4rok,metal,mg
4ron,metal,mg
4roo,metal,mg
4roy,metal,mg
4roz,metal,mg
4rp0,metal,mg
4rp1,metal,mg
4rp2,metal,mg
4rzn,metal,co
4u5m,metal,k
4u8a,metal,mg
4u8b,ligand,mg
4u8c,ligand,mg
4u92,metal,ba mg
4wo2,metal,k
4wo3,metal,k
4x18,ligand,ba
4x1a,ligand,ba
4xno,free,
4xqz,ligand,cu ca
4xsn,metal,cu
4ymc,ligand,ba
4ys5,free,
4z4b,ligand,mg
4zkk,metal,co
4zym,metal,mg
5ana,metal,mg
5axe,free,
5axf,free,
5bna,metal,pt
5bxw,metal,mg
5bz7,metal,mg
5bz9,metal,mg
5bzy,metal,mg
5ccw,ligand,k
5cdb,ligand,k
5cjy,metal,mg
5cv2,metal,sr
5dam,ligand,mg
5dev,free,
5dnb,metal,mg
5dsa,metal,ca
5dsb,metal,ca
5dww,metal,k
5dwx,metal,k
5e36,metal,mg
5erz,ligand,ni
5es0,ligand,co
5et2,ligand,ba
5et9,metal,ba
